"行政区域代码
更新时间: 2020.1
数据来源: http://www.mca.gov.cn/article/sj/xzqh/2020/2020/202003061536.html"						
序号	名称	区域编码	父级区域编码	区域等级	全称	
area_id	area_name	area_code	area_parentcode	area_level	area_allname	
1	北京市	110000	000000	1	北京市	
2	市辖区	110100	110000	2	北京市/市辖区	
3	东城区	110101	110100	3	北京市/市辖区/东城区	
4	西城区	110102	110100	3	北京市/市辖区/西城区	
5	朝阳区	110105	110100	3	北京市/市辖区/朝阳区	
6	丰台区	110106	110100	3	北京市/市辖区/丰台区	
7	石景山区	110107	110100	3	北京市/市辖区/石景山区	
8	海淀区	110108	110100	3	北京市/市辖区/海淀区	
9	门头沟区	110109	110100	3	北京市/市辖区/门头沟区	
10	房山区	110111	110100	3	北京市/市辖区/房山区	
11	通州区	110112	110100	3	北京市/市辖区/通州区	
12	顺义区	110113	110100	3	北京市/市辖区/顺义区	
13	昌平区	110114	110100	3	北京市/市辖区/昌平区	
14	大兴区	110115	110100	3	北京市/市辖区/大兴区	
15	怀柔区	110116	110100	3	北京市/市辖区/怀柔区	
16	平谷区	110117	110100	3	北京市/市辖区/平谷区	
17	密云区	110118	110100	3	北京市/市辖区/密云区	
18	延庆区	110119	110100	3	北京市/市辖区/延庆区	
19	天津市	120000	000000	1	天津市	
20	市辖区	120100	120000	2	天津市/市辖区	
21	和平区	120101	120100	3	天津市/市辖区/和平区	
22	河东区	120102	120100	3	天津市/市辖区/河东区	
23	河西区	120103	120100	3	天津市/市辖区/河西区	
24	南开区	120104	120100	3	天津市/市辖区/南开区	
25	河北区	120105	120100	3	天津市/市辖区/河北区	
26	红桥区	120106	120100	3	天津市/市辖区/红桥区	
27	东丽区	120110	120100	3	天津市/市辖区/东丽区	
28	西青区	120111	120100	3	天津市/市辖区/西青区	
29	津南区	120112	120100	3	天津市/市辖区/津南区	
30	北辰区	120113	120100	3	天津市/市辖区/北辰区	
31	武清区	120114	120100	3	天津市/市辖区/武清区	
32	宝坻区	120115	120100	3	天津市/市辖区/宝坻区	
33	滨海新区	120116	120100	3	天津市/市辖区/滨海新区	
34	宁河区	120117	120100	3	天津市/市辖区/宁河区	
35	静海区	120118	120100	3	天津市/市辖区/静海区	
36	蓟州区	120119	120100	3	天津市/市辖区/蓟州区	
37	河北省	130000	000000	1	河北省	
38	石家庄市	130100	130000	2	河北省/石家庄市	
39	长安区	130102	130100	3	河北省/石家庄市/长安区	
40	桥西区	130104	130100	3	河北省/石家庄市/桥西区	
41	新华区	130105	130100	3	河北省/石家庄市/新华区	
42	井陉矿区	130107	130100	3	河北省/石家庄市/井陉矿区	
43	裕华区	130108	130100	3	河北省/石家庄市/裕华区	
44	藁城区	130109	130100	3	河北省/石家庄市/藁城区	
45	鹿泉区	130110	130100	3	河北省/石家庄市/鹿泉区	
46	栾城区	130111	130100	3	河北省/石家庄市/栾城区	
47	井陉县	130121	130100	3	河北省/石家庄市/井陉县	
48	正定县	130123	130100	3	河北省/石家庄市/正定县	
49	行唐县	130125	130100	3	河北省/石家庄市/行唐县	
50	灵寿县	130126	130100	3	河北省/石家庄市/灵寿县	
51	高邑县	130127	130100	3	河北省/石家庄市/高邑县	
52	深泽县	130128	130100	3	河北省/石家庄市/深泽县	
53	赞皇县	130129	130100	3	河北省/石家庄市/赞皇县	
54	无极县	130130	130100	3	河北省/石家庄市/无极县	
55	平山县	130131	130100	3	河北省/石家庄市/平山县	
56	元氏县	130132	130100	3	河北省/石家庄市/元氏县	
57	赵县	130133	130100	3	河北省/石家庄市/赵县	
58	辛集市	130181	130100	3	河北省/石家庄市/辛集市	
59	晋州市	130183	130100	3	河北省/石家庄市/晋州市	
60	新乐市	130184	130100	3	河北省/石家庄市/新乐市	
61	唐山市	130200	130000	2	河北省/唐山市	
62	路南区	130202	130200	3	河北省/唐山市/路南区	
63	路北区	130203	130200	3	河北省/唐山市/路北区	
64	古冶区	130204	130200	3	河北省/唐山市/古冶区	
65	开平区	130205	130200	3	河北省/唐山市/开平区	
66	丰南区	130207	130200	3	河北省/唐山市/丰南区	
67	丰润区	130208	130200	3	河北省/唐山市/丰润区	
68	曹妃甸区	130209	130200	3	河北省/唐山市/曹妃甸区	
69	滦南县	130224	130200	3	河北省/唐山市/滦南县	
70	乐亭县	130225	130200	3	河北省/唐山市/乐亭县	
71	迁西县	130227	130200	3	河北省/唐山市/迁西县	
72	玉田县	130229	130200	3	河北省/唐山市/玉田县	
73	遵化市	130281	130200	3	河北省/唐山市/遵化市	
74	迁安市	130283	130200	3	河北省/唐山市/迁安市	
75	滦州市	130284	130200	3	河北省/唐山市/滦州市	
76	秦皇岛市	130300	130000	2	河北省/秦皇岛市	
77	海港区	130302	130300	3	河北省/秦皇岛市/海港区	
78	山海关区	130303	130300	3	河北省/秦皇岛市/山海关区	
79	北戴河区	130304	130300	3	河北省/秦皇岛市/北戴河区	
80	抚宁区	130306	130300	3	河北省/秦皇岛市/抚宁区	
81	青龙满族自治县	130321	130300	3	河北省/秦皇岛市/青龙满族自治县	
82	昌黎县	130322	130300	3	河北省/秦皇岛市/昌黎县	
83	卢龙县	130324	130300	3	河北省/秦皇岛市/卢龙县	
84	邯郸市	130400	130000	2	河北省/邯郸市	
85	邯山区	130402	130400	3	河北省/邯郸市/邯山区	
86	丛台区	130403	130400	3	河北省/邯郸市/丛台区	
87	复兴区	130404	130400	3	河北省/邯郸市/复兴区	
88	峰峰矿区	130406	130400	3	河北省/邯郸市/峰峰矿区	
89	肥乡区	130407	130400	3	河北省/邯郸市/肥乡区	
90	永年区	130408	130400	3	河北省/邯郸市/永年区	
91	临漳县	130423	130400	3	河北省/邯郸市/临漳县	
92	成安县	130424	130400	3	河北省/邯郸市/成安县	
93	大名县	130425	130400	3	河北省/邯郸市/大名县	
94	涉县	130426	130400	3	河北省/邯郸市/涉县	
95	磁县	130427	130400	3	河北省/邯郸市/磁县	
96	邱县	130430	130400	3	河北省/邯郸市/邱县	
97	鸡泽县	130431	130400	3	河北省/邯郸市/鸡泽县	
98	广平县	130432	130400	3	河北省/邯郸市/广平县	
99	馆陶县	130433	130400	3	河北省/邯郸市/馆陶县	
100	魏县	130434	130400	3	河北省/邯郸市/魏县	
101	曲周县	130435	130400	3	河北省/邯郸市/曲周县	
102	武安市	130481	130400	3	河北省/邯郸市/武安市	
103	邢台市	130500	130000	2	河北省/邢台市	
104	桥东区	130502	130500	3	河北省/邢台市/桥东区	
105	桥西区	130503	130500	3	河北省/邢台市/桥西区	
106	邢台县	130504	130500	3	河北省/邢台市/邢台县	
107	临城县	130505	130500	3	河北省/邢台市/临城县	
108	内丘县	130506	130500	3	河北省/邢台市/内丘县	
109	柏乡县	130507	130500	3	河北省/邢台市/柏乡县	
110	隆尧县	130508	130500	3	河北省/邢台市/隆尧县	
111	任县	130509	130500	3	河北省/邢台市/任县	
112	南和县	130510	130500	3	河北省/邢台市/南和县	
113	宁晋县	130511	130500	3	河北省/邢台市/宁晋县	
114	巨鹿县	130512	130500	3	河北省/邢台市/巨鹿县	
115	新河县	130513	130500	3	河北省/邢台市/新河县	
116	广宗县	130514	130500	3	河北省/邢台市/广宗县	
117	平乡县	130515	130500	3	河北省/邢台市/平乡县	
118	威县	130516	130500	3	河北省/邢台市/威县	
119	清河县	130517	130500	3	河北省/邢台市/清河县	
120	临西县	130518	130500	3	河北省/邢台市/临西县	
121	南宫市	130519	130500	3	河北省/邢台市/南宫市	
122	沙河市	130520	130500	3	河北省/邢台市/沙河市	
123	保定市	130600	130000	2	河北省/保定市	
124	竞秀区	130602	130600	3	河北省/保定市/竞秀区	
125	莲池区	130606	130600	3	河北省/保定市/莲池区	
126	满城区	130607	130600	3	河北省/保定市/满城区	
127	清苑区	130608	130600	3	河北省/保定市/清苑区	
128	徐水区	130609	130600	3	河北省/保定市/徐水区	
129	涞水县	130623	130600	3	河北省/保定市/涞水县	
130	阜平县	130624	130600	3	河北省/保定市/阜平县	
131	定兴县	130626	130600	3	河北省/保定市/定兴县	
132	唐县	130627	130600	3	河北省/保定市/唐县	
133	高阳县	130628	130600	3	河北省/保定市/高阳县	
134	容城县	130629	130600	3	河北省/保定市/容城县	
135	涞源县	130630	130600	3	河北省/保定市/涞源县	
136	望都县	130631	130600	3	河北省/保定市/望都县	
137	安新县	130632	130600	3	河北省/保定市/安新县	
138	易县	130633	130600	3	河北省/保定市/易县	
139	曲阳县	130634	130600	3	河北省/保定市/曲阳县	
140	蠡县	130635	130600	3	河北省/保定市/蠡县	
141	顺平县	130636	130600	3	河北省/保定市/顺平县	
142	博野县	130637	130600	3	河北省/保定市/博野县	
143	雄县	130638	130600	3	河北省/保定市/雄县	
144	涿州市	130681	130600	3	河北省/保定市/涿州市	
145	定州市	130682	130600	3	河北省/保定市/定州市	
146	安国市	130683	130600	3	河北省/保定市/安国市	
147	高碑店市	130684	130600	3	河北省/保定市/高碑店市	
148	张家口市	130700	130000	2	河北省/张家口市	
149	桥东区	130702	130700	3	河北省/张家口市/桥东区	
150	桥西区	130703	130700	3	河北省/张家口市/桥西区	
151	宣化区	130705	130700	3	河北省/张家口市/宣化区	
152	下花园区	130706	130700	3	河北省/张家口市/下花园区	
153	万全区	130708	130700	3	河北省/张家口市/万全区	
154	崇礼区	130709	130700	3	河北省/张家口市/崇礼区	
155	张北县	130722	130700	3	河北省/张家口市/张北县	
156	康保县	130723	130700	3	河北省/张家口市/康保县	
157	沽源县	130724	130700	3	河北省/张家口市/沽源县	
158	尚义县	130725	130700	3	河北省/张家口市/尚义县	
159	蔚县	130726	130700	3	河北省/张家口市/蔚县	
160	阳原县	130727	130700	3	河北省/张家口市/阳原县	
161	怀安县	130728	130700	3	河北省/张家口市/怀安县	
162	怀来县	130730	130700	3	河北省/张家口市/怀来县	
163	涿鹿县	130731	130700	3	河北省/张家口市/涿鹿县	
164	赤城县	130732	130700	3	河北省/张家口市/赤城县	
165	承德市	130800	130000	2	河北省/承德市	
166	双桥区	130802	130800	3	河北省/承德市/双桥区	
167	双滦区	130803	130800	3	河北省/承德市/双滦区	
168	鹰手营子矿区	130804	130800	3	河北省/承德市/鹰手营子矿区	
169	承德县	130821	130800	3	河北省/承德市/承德县	
170	兴隆县	130822	130800	3	河北省/承德市/兴隆县	
171	滦平县	130824	130800	3	河北省/承德市/滦平县	
172	隆化县	130825	130800	3	河北省/承德市/隆化县	
173	丰宁满族自治县	130826	130800	3	河北省/承德市/丰宁满族自治县	
174	宽城满族自治县	130827	130800	3	河北省/承德市/宽城满族自治县	
175	围场满族蒙古族自治县	130828	130800	3	河北省/承德市/围场满族蒙古族自治县	
176	平泉市	130881	130800	3	河北省/承德市/平泉市	
177	沧州市	130900	130000	2	河北省/沧州市	
178	新华区	130902	130900	3	河北省/沧州市/新华区	
179	运河区	130903	130900	3	河北省/沧州市/运河区	
180	沧县	130921	130900	3	河北省/沧州市/沧县	
181	青县	130922	130900	3	河北省/沧州市/青县	
182	东光县	130923	130900	3	河北省/沧州市/东光县	
183	海兴县	130924	130900	3	河北省/沧州市/海兴县	
184	盐山县	130925	130900	3	河北省/沧州市/盐山县	
185	肃宁县	130926	130900	3	河北省/沧州市/肃宁县	
186	南皮县	130927	130900	3	河北省/沧州市/南皮县	
187	吴桥县	130928	130900	3	河北省/沧州市/吴桥县	
188	献县	130929	130900	3	河北省/沧州市/献县	
189	孟村回族自治县	130930	130900	3	河北省/沧州市/孟村回族自治县	
190	泊头市	130981	130900	3	河北省/沧州市/泊头市	
191	任丘市	130982	130900	3	河北省/沧州市/任丘市	
192	黄骅市	130983	130900	3	河北省/沧州市/黄骅市	
193	河间市	130984	130900	3	河北省/沧州市/河间市	
194	廊坊市	131000	130000	2	河北省/廊坊市	
195	安次区	131002	131000	3	河北省/廊坊市/安次区	
196	广阳区	131003	131000	3	河北省/廊坊市/广阳区	
197	固安县	131022	131000	3	河北省/廊坊市/固安县	
198	永清县	131023	131000	3	河北省/廊坊市/永清县	
199	香河县	131024	131000	3	河北省/廊坊市/香河县	
200	大城县	131025	131000	3	河北省/廊坊市/大城县	
201	文安县	131026	131000	3	河北省/廊坊市/文安县	
202	大厂回族自治县	131028	131000	3	河北省/廊坊市/大厂回族自治县	
203	霸州市	131081	131000	3	河北省/廊坊市/霸州市	
204	三河市	131082	131000	3	河北省/廊坊市/三河市	
205	衡水市	131100	130000	2	河北省/衡水市	
206	桃城区	131102	131100	3	河北省/衡水市/桃城区	
207	冀州区	131103	131100	3	河北省/衡水市/冀州区	
208	枣强县	131121	131100	3	河北省/衡水市/枣强县	
209	武邑县	131122	131100	3	河北省/衡水市/武邑县	
210	武强县	131123	131100	3	河北省/衡水市/武强县	
211	饶阳县	131124	131100	3	河北省/衡水市/饶阳县	
